material_id,pretty_formula,final_energy,e_above_hull,spacegroup.number,volume,full_formula,band_gap,bond_valence,density,efemri,elasticity.poisson_ratio,elasticity.universal_anistrophy,elasticity.homogeneous_poisson,elasticity.elastic_anisotropy,elasticity.nsites,elasticity.G_Reuss,elasticity.G_VRH,elasticity.G_Voigt,elasticity.G_Voigt_Reuss_Hill,final_energy,final_energy_per_atom,formation_energy_per_atom,is_ordered,magnetism.total_magnetization,nelements,spacegroup.point_group,total_magnetization
mp-504276,FePO4,-170.54696558,0.0068879358333333585,7,391.8419255914519,Fe4P4O16,1.7098999999999998,,2.5565050049759246,,,,,,,,,,,-170.54696558,-7.106123565833333,-2.32759773638889,True,0.0,3,m,0.0
mp-510657,VCu3O4,-47.25654727,0.09108947374999765,121,95.25241197410752,V1Cu3O4,0.15879999999999939,,5.327137674437762,,0.47,,0.47,3.77,8.0,5.0,7.0,9.0,7.0,-47.25654727,-5.90706840875,-1.31639714625,True,2.3e-06,3,-42m,2.3e-06
mp-546027,CrBiO3,-68.5484541,0.014705040999999142,161,124.88149851156129,Cr2Bi2O6,1.9907999999999992,,8.216822604727415,,,,,,,,,,,-68.5484541,-6.85484541,-1.9894524510000005,True,0.0,3,3m,0.0
mp-552729,KIO3,-22.24454046,0.005367975999999608,160,93.02665310093957,K1I1O3,3.002,,3.8199479302959625,,,,,,,,,,,-22.24454046,-4.448908092,-1.3654491765999999,True,0.0001492,3,3m,0.0001492
mp-558521,B2Se2O7,-284.48347434,0.0,19,567.4851775415665,B8Se8O28,3.9744,,3.4123175402596857,,,,,,,,,,,-284.48347434,-6.465533507727272,-1.9039577320928023,True,0.003758,3,222,0.0009395
mp-752561,SbO2F,-44.10114199,0.008674775374998944,9,104.6931358870444,Sb2O4F2,1.3339999999999996,,5.480208086605879,,,,,,,,,,,-44.10114199,-5.51264274875,-1.987542194375,True,0.0,3,m,0.0
mp-753611,PCl3O,-85.07845214,0.005955719000000137,33,686.7475052446612,P4Cl12O4,4.5631,,1.4830140231905524,,,,,,,,,,,-85.07845214,-4.253922607,-1.5783479086666667,True,0.0006654,3,mm2,0.00016635
mp-755190,TaVO4,-109.06259663,0.0,109,138.43574314041692,Ta2V2O8,1.8997000000000002,,7.098338600168158,,,,,,,,,,,-109.06259663,-9.088549719166666,-3.040961765833334,True,3.9998376,3,4mm,1.9999188
mp-757971,Li7Cr2O8,-99.04764211,0.05144450102941267,1,184.3486996528263,Li7Cr2O8,0.5066999999999999,,2.5273015386887323,,,,,,,,,,,-99.04764211,-5.826331888823529,-2.134670533137255,True,3.0000045,3,1,3.0000045
mp-866810,Ca2SnS4,-67.62422126,0.07063893750000005,40,348.6261882836485,Ca4Sn2S8,2.4534,,3.116263327060386,,,,,,,,,,,-67.62422126,-4.830301518571429,-1.6082199353571427,True,0.0014347,3,mm2,0.00071735
mp-8704,K3SbSe4,-56.62150477,0.0,161,547.3713330632321,K6Sb2Se8,1.4318,,3.3667260364205362,,,,,,,,,,,-56.62150477,-3.538844048125,-1.0943635491718746,True,6.3e-05,3,3m,3.15e-05
mp-10572,NaPN2,-51.88290303,0.0,122,88.25304273316463,Na2P2N4,4.867700000000001,,3.0848998002709935,,,,,,,,,,,-51.88290303,-6.48536287875,-0.8136584662212645,True,4.22e-05,3,-42m,2.11e-05
mp-1228030,Ba4Bi2O,-30.34675462,0.0,107,272.9974862102918,Ba4Bi2O1,0.6108000000000002,,5.980843566404636,,,,,,,,,,,-30.34675462,-4.33525066,-1.518548810714286,True,0.0033892,3,4mm,0.0033892
mp-1301869,CaCr2O4,-210.76739271,0.0817668989285707,160,352.6478382125799,Ca4Cr8O16,2.5239,,3.9189772114042163,,,,,,,,,,,-210.76739271,-7.5274068825,-2.619187048214286,True,6.0008975,3,3m,1.500224375
mp-23494,Ti(Bi3O5)4,-199.56776618,0.007387453181820547,197,549.4766642715311,Ti1Bi12O20,2.3865000000000007,,8.690230776076797,,,,,,,,,,,-199.56776618,-6.047508066060606,-1.811292192222223,True,0.0,3,23,0.0
mp-24040,CrHO2,-54.9253764,0.01313051437500068,31,65.75113241765159,Cr2H2O4,2.4942999999999995,,4.293478496928693,,,,,,,,,,,-54.9253764,-6.86567205,-1.97349816875,True,6.0001229,3,mm2,3.00006145
mp-29196,AuCN,-19.72623365,0.2499745049999964,183,59.37209019892885,Au1C1N1,2.1038,,6.236492441303733,,0.29,,0.29,244.33,3.0,1.0,19.0,36.0,19.0,-19.72623365,-6.575411216666667,0.24997450499999965,True,0.0002306,3,6mm,0.0002306
mp-2979,ZnGeN2,-93.30821715,0.0,33,187.94394694722024,Zn4Ge4N8,1.6966,,5.868837111754277,,0.26,,0.26,0.15,16.0,93.0,95.0,96.0,95.0,-93.30821715,-5.831763571875,-0.3733232431250002,True,2.55e-05,3,mm2,6.375e-06
mp-38103,NaClO4,-26.23594456,0.003993269166666202,121,84.95479838876899,Na1Cl1O4,5.495,,2.39323758486194,,0.15,,0.15,0.22,6.0,14.0,14.0,14.0,14.0,-26.23594456,-4.372657426666667,-1.0035064310919541,True,0.0004452,3,-42m,0.0004452
mp-505297,NbSbRu,-24.75639818,0.0,216,59.64337129939471,Nb1Sb1Ru1,0.6231999999999998,,8.790458726838997,,0.33,,0.33,0.0,3.0,66.0,66.0,66.0,66.0,-24.75639818,-8.252132726666668,-0.4812340816666669,True,0.0003795,3,-43m,0.0003795
mp-5518,GaAgSe2,-29.34199005,0.0,122,206.93763468872433,Ga2Ag2Se4,0.5906000000000002,,5.384515539861855,,0.34,,0.34,0.69,8.0,17.0,18.0,19.0,18.0,-29.34199005,-3.66774875625,-0.6906300109635413,True,0.0009487,3,-42m,0.00047435
mp-5770,AgNO2,-21.6662537,0.07542684652777876,44,63.222940543610015,Ag1N1O2,1.77,,4.04146482234625,,,,,,,,,,,-21.6662537,-5.416563425,-0.4938201904166659,True,4.48e-05,3,mm2,4.48e-05
mp-625565,Cd(HO)2,-22.72687163,0.02170742800000003,5,52.817069062369185,Cd1H2O2,1.7908,,4.603541360963273,,,,,,,,,,,-22.72687163,-4.545374326,-1.299321554,True,9.8e-06,3,2,9.8e-06
mp-759283,FeOF,-72.64355862,0.04230284555555652,6,140.0012146756088,Fe4O4F4,0.47850000000000004,,4.3099061385311375,,,,,,,,,,,-72.64355862,-6.053629884999999,-2.0788137441666663,True,0.0,3,m,0.0
mp-760484,TmBO3,-82.7787493,0.030025047600000576,40,116.35561242130827,Tm2B2O6,4.5068,,6.500362493841258,,,,,,,,,,,-82.7787493,-8.27787493,-3.490252888166667,True,0.0,3,mm2,0.0
mp-15704,BeSiN2,-61.43258524,0.001164221874999427,122,67.72593517773845,Be2Si2N4,3.5618,,3.1928535219439826,,0.2,,0.2,0.61,8.0,166.0,176.0,186.0,176.0,-61.43258524,-7.679073155,-1.4001439712500003,True,0.0,3,-42m,0.0
mp-18625,KPSe6,-120.57635833,0.0,29,996.8322179548229,K4P4Se24,1.8857999999999997,,3.6236966195711795,,,,,,,,,,,-120.57635833,-3.7680111978125,-0.6846149078619792,True,9.47e-05,3,mm2,2.3675e-05
mp-23501,FeBiO3,-62.50164488,0.0016325029999997298,161,128.19046440985971,Fe2Bi2O6,1.3197,,8.104437582714585,,,,,,,,,,,-62.50164488,-6.250164488,-1.6727793330000005,True,0.0,3,3m,0.0
mp-27549,K2AgBi,-20.55839986,0.0,63,297.681341212236,K4Ag2Bi2,1.2598,,4.407316797226566,,,,,,,,,,,-20.55839986,-2.5697999825,-0.33395293066666687,True,0.0006678,3,mmm,0.0003339
mp-28512,Ba(ClO3)2,-84.86554134,0.015387281111108209,43,321.32962584844813,Ba2Cl4O12,5.3105,,3.144340037582114,,,,,,,,,,,-84.86554134,-4.714752296666666,-1.2501067211111108,True,3.1e-06,3,mm2,1.55e-06
mp-34486,Pr5AgS8,-85.29159811,0.02156397849702607,82,322.92747413753887,Pr5Ag1S8,1.6995000000000005,,5.4965720531758135,,,,,,,,,,,-85.29159811,-6.0922570078571425,-2.1062105319047615,True,0.0007793,3,-4,0.0007793
mp-36111,LiMgP,-11.20875866,0.0,216,54.443468468506516,Li1Mg1P1,1.5647000000000002,,1.8977179158840678,,0.19,,0.19,0.0,3.0,43.0,43.0,43.0,43.0,-11.20875866,-3.736252886666667,-0.7620844122222223,True,0.0001813,3,-43m,0.0001813
