Materials,Piezoelectric_Modulus,Crystal_Symmetry,mp_id
VBO4,0.101891552,tetragonal,mp-754594
CaBe3O4,0.362929626,hexagonal,mp-754739
TaAsO4,2.002565389,monoclinic,mp-754840
BaYF5,2.91440675,monoclinic,mp-754920
ErBiO3,4.997849436,trigonal,mp-754943
Y3AlO6,0.620111272,orthorhombic,mp-754979
Cd4B6O13,0.0691,cubic,mp-755260
BaNa2O2,0.583862338,orthorhombic,mp-755391
CdBiO3,1.19678081,trigonal,mp-755478
GaBiO3,4.230458203,trigonal,mp-755568
BaMgO2,0.853074919,trigonal,mp-756018
Na3AsO4,0.987478802,orthorhombic,mp-756044
BaNa4O3,0.715520468,monoclinic,mp-756084
BaNa4O3,16.77554582,monoclinic,mp-756090
Ba2SrI6,0,monoclinic,mp-756202
TaAsO4,1.24985812,orthorhombic,mp-756401
Mg3(AsO4)2,0.28134791,tetragonal,mp-758196
LiAgF2,1.27724,tetragonal,mp-758604
B(HO)3,0.029201385,trigonal,mp-759069
TaAlO4,1.031104984,tetragonal,mp-760396
ErBO3,1.761231741,orthorhombic,mp-760405
Ba2SrI6,0.799157922,hexagonal,mp-760418
YBO3,1.711325877,orthorhombic,mp-760457
SmBO3,1.432561864,orthorhombic,mp-760477
TmBO3,1.969403157,orthorhombic,mp-760484
Li2AgF3,0,monoclinic,mp-760580
Li2AgF4,0,monoclinic,mp-761269
BaCO3,0.297546731,monoclinic,mp-762225
BaCaI4,0.240371169,monoclinic,mp-766325
YBiO3,4.8307273,trigonal,mp-768221
LaBiO3,4.442634181,trigonal,mp-768310
Tl3AsSe3,0.97392975,trigonal,mp-7684
Lu3AlO6,0.711095154,orthorhombic,mp-768573
NbAsO4,2.543535175,orthorhombic,mp-770219
AlGaO3,0.704724512,orthorhombic,mp-772898
W(BrO)2,7.443094544,orthorhombic,mp-774146
AgClO3,0.01496,cubic,mp-775761
BaYF5,2.491738794,monoclinic,mp-777233
Ba2MgO3,0,monoclinic,mp-779511
AlPO4,0.423359124,tetragonal,mp-7848
AlAsO4,0.309584913,tetragonal,mp-7849
AlAgS2,2.292166884,trigonal,mp-7885
Al2HgS4,0.317172827,tetragonal,mp-7906
Al2ZnSe4,0.082368616,tetragonal,mp-7907
Al2ZnTe4,0.058933017,tetragonal,mp-7908
Al2CdTe4,0.089395899,tetragonal,mp-7909
Al2HgTe4,0.120922462,tetragonal,mp-7910
BeSiN2,0.398786689,orthorhombic,mp-7913
AlCSe2,0.04272,tetragonal,mp-8016
AlCTe2,0.040325,tetragonal,mp-8017
AgNO3,0.264643358,trigonal,mp-8196
BaAl4S7,0.36962,orthorhombic,mp-8258
Na2AgAs,0,orthorhombic,mp-8411
AlInSe3,0.101373982,hexagonal,mp-862787
NbBiO4,2.422482153,monoclinic,mp-863076
Sr2CdAs2,0.568030383,orthorhombic,mp-867203
Na3AsSe3,0.081566667,cubic,mp-8686
LiZnAs,0.7323,cubic,mp-9124
Li3AsO4,1.136009713,orthorhombic,mp-9197
NaAlO2,1.198037233,orthorhombic,mp-9212
Ag3AsS4,0.538943732,orthorhombic,mp-9538
LiBeSb,0.772463049,hexagonal,mp-9575
LiCaAs,0.682684821,cubic,mp-961684
NaCaAs,0.007329833,cubic,mp-961685
ZrInAu,0.290390237,cubic,mp-961693
Ba2Si5N8,0.294525903,orthorhombic,mp-9711
SmBS3,0.36927,orthorhombic,mp-972448
BaNaP,0.029733841,hexagonal,mp-9732
B4PbO7,1.533211453,orthorhombic,mp-9747
NaSrAs,0.210799138,hexagonal,mp-9775
Tl3AsS3,0.792178664,trigonal,mp-9791
Ag2GeO3,0.30754,orthorhombic,mp-983589
Dy3Sb4Au3,0.79917,cubic,mp-984350
Al(HO)3,0.11714,orthorhombic,mp-985293
Ag2GeS3,0.217052771,orthorhombic,mp-9900
LiAuO2,0.066344835,tetragonal,mp-996959
AgClO2,0.28270237,triclinic,mp-996984
MgAgF3,0,cubic,mp-998358
KGeBr3,1.338562335,monoclinic,mp-998412
InSnBr3,1.957781954,trigonal,mp-998555
Ti2MnAl,1.43574,cubic,mp-999052
LuCuS2,0.507583852,trigonal,mp-1001780
NaCO,0.5051,cubic,mp-1008867
ZnCdSe2,0.017815,tetragonal,mp-1017534
Ce3Zr5O16,1.142984999,orthorhombic,mp-1019589
Ce5Zr3O16,1.25495,orthorhombic,mp-1019595
Cd5(S2Cl)2,1.155045201,monoclinic,mp-1021494
C2WSe4,0.23192,tetragonal,mp-1025340
NbCl2O,3.728117523,monoclinic,mp-1025567
CaSnN2,1.697938055,orthorhombic,mp-1029633
Ca3ReN4,0.814589132,trigonal,mp-1030245
C2SnS3,0.291231858,monoclinic,mp-10519
TaC3S4,0.041976667,cubic,mp-10748
Ca2CdP2,0.742481687,orthorhombic,mp-1078908
NbCoSn,1.607416922,cubic,mp-1094088
La3C3Sb4,0.33442,cubic,mp-1105594
Cs6Fe2O5,0.265373216,monoclinic,mp-1105876
Y3C3Sb4,0.57639,cubic,mp-1106051
Ca(PIr)2,1.813991223,trigonal,mp-11168
Cs3Re2N5,0.247930326,tetragonal,mp-1118943
